Problem,initial blocking num
MIS_easy,2
MIS_medium,2
MIS_hard,2
MCV_easy,2
MVC_medium,2
MVC_hard,2
SC_easy,2
SC_medium,2
SC_hard,2
MIPlib,2
Coral,2
Cut,2
ECOGCNN,2
HEM_knapsack,2
HEM_mis,2
HEM_setcover,2
HEM_corlat,2
HEM_mik,2
item_placement,2
load_balancing,2
anonymous,2
Nexp,2
Transportation,2
vary_bounds_s1,2
vary_bounds_s2,2
vary_bounds_s3,2
vary_matrix_s1,2
vary_matrix_rhs_bounds_s1,2
vary_matrix_rhs_bounds_obj_s1,2
vary_obj_s1,2
vary_obj_s2,2
vary_obj_s3,2
vary_rhs_s1,2
vary_rhs_s2,2
vary_rhs_s3,2
vary_rhs_s4,2
vary_rhs_obj_s1,2
vary_rhs_obj_s2,2
Aclib,2
fc.data,2
nn_verification,2
