policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
,0,,data/instances/mis/test/instance_643.lp,,,8.75,0.0,,,
,0,,data/instances/mis/test/instance_128.lp,,,5.86,0.0,,,
,0,,data/instances/mis/test/instance_848.lp,,,4.63,0.0,,,
,0,,data/instances/mis/test/instance_851.lp,,,6.79,0.0,,,
,0,,data/instances/mis/test/instance_119.lp,,,5.72,0.0,,,
,0,,data/instances/mis/test/instance_223.lp,,,5.71,0.0,,,
,0,,data/instances/mis/test/instance_391.lp,,,6.15,0.0,,,
,0,,data/instances/mis/test/instance_937.lp,,,6.48,0.0,,,
,0,,data/instances/mis/test/instance_365.lp,,,7.53,0.0,,,
,0,,data/instances/mis/test/instance_372.lp,,,4.27,0.0,,,
,0,,data/instances/mis/test/instance_709.lp,,,6.99,0.0,,,
,0,,data/instances/mis/test/instance_686.lp,,,6.77,0.0,,,
,0,,data/instances/mis/test/instance_811.lp,,,5.64,0.0,,,
,0,,data/instances/mis/test/instance_855.lp,,,4.68,0.0,,,
,0,,data/instances/mis/test/instance_550.lp,,,5.09,0.0,,,
,0,,data/instances/mis/test/instance_557.lp,,,4.22,0.0,,,
,0,,data/instances/mis/test/instance_931.lp,,,5.97,0.0,,,
,0,,data/instances/mis/test/instance_265.lp,,,5.09,0.0,,,
,0,,data/instances/mis/test/instance_531.lp,,,4.9,0.0,,,
