policy,seed,type,instance,nnodes,nlps,stime,gap,status,walltime,proctime
,0,,data/instances/setcover/test/instance_556.lp,,,4.08,0.0,,,
,0,,data/instances/setcover/test/instance_433.lp,,,2.13,0.0,,,
,0,,data/instances/setcover/test/instance_986.lp,,,2.81,0.0,,,
,0,,data/instances/setcover/test/instance_521.lp,,,2.11,0.0,,,
,0,,data/instances/setcover/test/instance_205.lp,,,1.65,0.0,,,
,0,,data/instances/setcover/test/instance_810.lp,,,2.06,0.0,,,
,0,,data/instances/setcover/test/instance_997.lp,,,2.47,0.0,,,
,0,,data/instances/setcover/test/instance_478.lp,,,2.86,0.0,,,
,0,,data/instances/setcover/test/instance_82.lp,,,2.63,0.0,,,
,0,,data/instances/setcover/test/instance_446.lp,,,3.63,0.0,,,
,0,,data/instances/setcover/test/instance_484.lp,,,2.3,0.0,,,
,0,,data/instances/setcover/test/instance_736.lp,,,1.17,0.0,,,
,0,,data/instances/setcover/test/instance_646.lp,,,5.68,0.0,,,
,0,,data/instances/setcover/test/instance_998.lp,,,8.36,0.0,,,
,0,,data/instances/setcover/test/instance_273.lp,,,3.9,0.0,,,
,0,,data/instances/setcover/test/instance_520.lp,,,3.9,0.0,,,
,0,,data/instances/setcover/test/instance_925.lp,,,1.97,0.0,,,
,0,,data/instances/setcover/test/instance_22.lp,,,1.28,0.0,,,
,0,,data/instances/setcover/test/instance_94.lp,,,3.93,0.0,,,
,0,,data/instances/setcover/test/instance_762.lp,,,3.94,0.0,,,
