Problem,learning-rate,NB-epochs,batch-size,weight-norm
MIS_easy,0.001,9999,4,100
MIS_medium,0.001,9999,4,100
MIS_hard,0.001,9999,4,100
MCV_easy,0.001,9999,4,100
MVC_medium,0.001,9999,4,100
MVC_hard,0.001,9999,4,100
SC_easy,0.001,9999,4,100
SC_medium,0.001,9999,4,100
SC_hard,0.001,9999,4,100
MIPlib,0.001,9999,4,100
Coral,0.001,9999,4,100
Cut,0.001,9999,4,100
ECOGCNN,0.001,9999,4,100
HEM_knapsack,0.001,9999,4,100
HEM_mis,0.001,9999,4,100
HEM_setcover,0.001,9999,4,100
HEM_corlat,0.001,9999,4,100
HEM_mik,0.001,9999,4,100
item_placement,0.001,9999,4,100
load_balancing,0.001,9999,4,100
anonymous,0.001,9999,4,100
Nexp,0.001,9999,4,100
Transportation,0.001,9999,4,100
vary_bounds_s1,0.001,9999,4,100
vary_bounds_s2,0.001,9999,4,100
vary_bounds_s3,0.001,9999,4,100
vary_matrix_s1,0.001,9999,4,100
vary_matrix_rhs_bounds_s1,0.001,9999,4,100
vary_matrix_rhs_bounds_obj_s1,0.001,9999,4,100
vary_obj_s1,0.001,9999,4,100
vary_obj_s2,0.001,9999,4,100
vary_obj_s3,0.001,9999,4,100
vary_rhs_s1,0.001,9999,4,100
vary_rhs_s2,0.001,9999,4,100
vary_rhs_s3,0.001,9999,4,100
vary_rhs_s4,0.001,9999,4,100
vary_rhs_obj_s1,0.001,9999,4,100
vary_rhs_obj_s2,0.001,9999,4,100
Aclib,0.001,9999,4,100
fc.data,0.001,9999,4,100
nn_verification,0.001,9999,4,100
